Method,Year,Date ,Enter by,Electronic Enter by ,Time to Start,Observe Intervals ,Block,H-ID,HP,Source,Source ID,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Note
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,91,Qv-F,KRE,58,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,94,Qv-T,Rice,P4G09,F,NA,C,C,C,C,Qv,C,C,C,C,C,C,Qv,Qv,Qv,C,C,C,C,C,Qv,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,96,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,99,Qv-T,Rice,P4G09,F,NA,C,C,Qg,Qg,Qg,Qg,Qg,Qg,C,C,C,Qg,Qg,C,C,C,C,C,C,Qg,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,100,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,Qv,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,103,Qv-T,Rice,P4G09,F,NA,C,C,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,104,Qv-T,Rice,P4G09,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,106,Qv-T,Rice,P4G09,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,Qv,Qv,Qv,Qv,Qv,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,107,Qv-T,Rice,P4G09,F,NA,C,C,C,C,C,C,C,C,C,C,Qv,C,C,C,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,110,Qv-T,Rice,P4G07,F,NA,Qv,C,C,C,Qv,Qv,Qv,Qv,C,Qv,C,C,C,Qv,Qg,Qg,Qg,C,Qg,Qg,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,111,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,113,Qv-T,Rice,P4G07,F,NA,C,Qv,C,C,C,C,C,C,C,C,C,C,C,Qg,C,Qv,Qv,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,115,Qv-T,Rice,P4G07,F,NA,Qg,C,C,C,Qg,Qv,Qv,Qv,Qv,Qg,C,Qg,C,Qv,Qg,Qg,Qg,Qv,Qg,Qg,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,116,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,124,Qv-T,Rice,P4G37,F,NA,C,C,C,C,C,C,C,C,C,C,C,Qv,C,Qv,C,C,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,125,Qv-F,KRE,52,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,Qv,Qv,C,C,C,C,C,C,Qg,Qg,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,128,Qv-T,Rice,P4G9,F,NA,Qv,C,C,Qv,C,C,C,C,C,C,Qv,C,C,C,C,Qv,C,C,C,C,
cup,2016,4.12.16,LZ/GAD,SL,14:30,2 min,6,131,Qv-T,Rice,P4G9,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.16.16,LZ,SL,15:10,2 min,8,158,Qv-T,Rice,TIP4G9,F,NA,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.16.16,LZ,SL,15:10,2 min,8,160,Qv-T,Rice,TIP4G7,F,NA,Qv,Qv,Qv,Qv,Qv,C,Qv,Qv,C,Qv,Qv,Qv,C,Qv,Qv,Qv,Qv,Qv,Qv,Qv,
cup,2016,4.16.16,LZ,SL,15:10,2 min,8,163,Qv-T,Rice,TIP4G7,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,Qv,C,C,C,Qv,C,Qv,
cup,2016,4.16.16,LZ,SL,15:10,2 min,8,166,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
